"","playerid","#","Season","Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K_9","BB_9","K_BB","H_9","HR_9","AVG","WHIP","BABIP","LOB_pct","FIP","GB_FB","LD_pct","GB_pct","FB_pct","IFFB_pct","HR_FB","IFH_pct","BUH_pct","Starting","Start_IP","Relieving","Relief_IP","RAR","WAR","Dollars","tERA","xFIP","WPA","WPA_minus","WPA_plus","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA_LI","Clutch","FBall_pct","FBv","SL_pct","SLv","CT_pct","CTv","CB_pct","CBv","CH_pct","CHv","SF_pct","SFv","KN_pct","KNv","XX_pct","PO_pct","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB_C","wSL_C","wCT_C","wCB_C","wCH_C","wSF_C","wKN_C","O-Swing_pct","Z-Swing_pct","Swing_pct","O-Contact_pct","Z-Contact_pct","Contact_pct","Zone_pct","F-Strike_pct","SwStr_pct","HLD","SD","MD","ERA-","FIP-","xFIP-","K_pct","BB_pct","SIERA","RS_9","E-F","FA_pct_pfx","FT_pct_pfx","FC_pct_pfx","FS_pct_pfx","FO_pct_pfx","SI_pct_pfx","SL_pct_pfx","CU_pct_pfx","KC_pct_pfx","EP_pct_pfx","CH_pct_pfx","SC_pct_pfx","KN_pct_pfx","UN_pct_pfx","vFA_pfx","vFT_pfx","vFC_pfx","vFS_pfx","vFO_pfx","vSI_pfx","vSL_pfx","vCU_pfx","vKC_pfx","vEP_pfx","vCH_pfx","vSC_pfx","vKN_pfx","FA-X_pfx","FT-X_pfx","FC-X_pfx","FS-X_pfx","FO-X_pfx","SI-X_pfx","SL-X_pfx","CU-X_pfx","KC-X_pfx","EP-X_pfx","CH-X_pfx","SC-X_pfx","KN-X_pfx","FA-Z_pfx","FT-Z_pfx","FC-Z_pfx","FS-Z_pfx","FO-Z_pfx","SI-Z_pfx","SL-Z_pfx","CU-Z_pfx","KC-Z_pfx","EP-Z_pfx","CH-Z_pfx","SC-Z_pfx","KN-Z_pfx","wFA_pfx","wFT_pfx","wFC_pfx","wFS_pfx","wFO_pfx","wSI_pfx","wSL_pfx","wCU_pfx","wKC_pfx","wEP_pfx","wCH_pfx","wSC_pfx","wKN_pfx","wFA_C_pfx","wFT_C_pfx","wFC_C_pfx","wFS_C_pfx","wFO_C_pfx","wSI_C_pfx","wSL_C_pfx","wCU_C_pfx","wKC_C_pfx","wEP_C_pfx","wCH_C_pfx","wSC_C_pfx","wKN_C_pfx","O-Swing_pct_pfx","Z-Swing_pct_pfx","Swing_pct_pfx","O-Contact_pct_pfx","Z-Contact_pct_pfx","Contact_pct_pfx","Zone_pct_pfx","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","AgeRng","K-BB_pct","Pull_pct","Cent_pct","Oppo_pct","Soft_pct","Med_pct","Hard_pct","kwERA","TTO_pct","CH_pct_pi","CS_pct_pi","CU_pct_pi","FA_pct_pi","FC_pct_pi","FS_pct_pi","KN_pct_pi","SB_pct_pi","SI_pct_pi","SL_pct_pi","XX_pct_pi","vCH_pi","vCS_pi","vCU_pi","vFA_pi","vFC_pi","vFS_pi","vKN_pi","vSB_pi","vSI_pi","vSL_pi","vXX_pi","CH-X_pi","CS-X_pi","CU-X_pi","FA-X_pi","FC-X_pi","FS-X_pi","KN-X_pi","SB-X_pi","SI-X_pi","SL-X_pi","XX-X_pi","CH-Z_pi","CS-Z_pi","CU-Z_pi","FA-Z_pi","FC-Z_pi","FS-Z_pi","KN-Z_pi","SB-Z_pi","SI-Z_pi","SL-Z_pi","XX-Z_pi","wCH_pi","wCS_pi","wCU_pi","wFA_pi","wFC_pi","wFS_pi","wKN_pi","wSB_pi","wSI_pi","wSL_pi","wXX_pi","wCH_C_pi","wCS_C_pi","wCU_C_pi","wFA_C_pi","wFC_C_pi","wFS_C_pi","wKN_C_pi","wSB_C_pi","wSI_C_pi","wSL_C_pi","wXX_C_pi","O-Swing_pct_pi","Z-Swing_pct_pi","Swing_pct_pi","O-Contact_pct_pi","Z-Contact_pct_pi","Contact_pct_pi","Zone_pct_pi","Pace_pi","Dol"
"1","19427","1","2020","Shane Bieber","CLE",25,8,1,1.63,12,12,0,0,0,0,77.1,297,46,15,14,7,21,0,1,5,0,122,74,46,33,4,453,785,1238,32,7,0,0,14.2,2.44,5.81,5.35,0.81,0.167,0.87,0.267,91.1,2.07,1.61,21.6,48.4,30.1,8.7,15.2,9.5,0,28.7,77.1,NA,NA,28.7,3.2,25.4,2.35,2.04,3.05,-3.32,6.37,28.89,2.7,0.99,0.99,0.87,1.26,12,2.55,0.54,37.5,94.2,11.6,84.5,16.2,89.4,26.3,83.7,8.5,88.8,NA,NA,NA,NA,NA,NA,7.4,0.3,5.6,9.3,2,NA,NA,1.6,0.24,2.78,2.86,1.95,NA,NA,37,65.6,46.7,44,84.4,63.3,34,63,17.1,0,0,0,36,46,45,41.1,7.1,2.52,3.72,-0.44,37.4,NA,16.2,NA,NA,NA,11.6,NA,26.3,NA,8.5,NA,NA,NA,94.1,NA,89.3,NA,NA,NA,84.5,NA,83.6,NA,88.7,NA,NA,-5.5,NA,0.5,NA,NA,NA,0.2,NA,4.7,NA,-9.4,NA,NA,10.6,NA,5.4,NA,NA,NA,-2.1,NA,-7.8,NA,3,NA,NA,7.8,NA,5.6,NA,NA,NA,-0.1,NA,9.8,NA,2.1,NA,NA,1.69,NA,2.8,NA,NA,NA,-0.04,NA,3.02,NA,2.05,NA,NA,35.8,61.4,46.7,41.3,80.6,63.3,42.6,NA,4,0.3,0.6,0.8,NA,34,43.8,35.3,20.9,20.3,52.9,26.8,2.09,50.5,8.5,NA,26.3,37.4,16.2,NA,NA,NA,0.1,11.6,NA,89.1,NA,84,94.5,89.6,NA,NA,NA,94.7,84.9,NA,-9.3,NA,5.1,-5.3,1,NA,NA,NA,-8.7,0.7,NA,2,NA,-9.3,9.9,4.6,NA,NA,NA,8.1,-3,NA,2.1,NA,9.8,7.8,5.6,NA,NA,NA,0,-0.1,NA,2.05,NA,3.02,1.69,2.79,NA,NA,NA,4.37,-0.04,NA,35.9,60.8,46.7,40.5,81,63.3,43.3,NA,25.4
"2","10954","2","2018","Jacob deGrom","NYM",30,10,9,1.7,32,32,1,0,0,0,217,835,152,48,41,10,46,3,5,2,0,269,235,160,111,26,999,2213,3212,86,16,9,2,11.16,1.91,5.85,6.3,0.41,0.194,0.91,0.281,82,1.99,1.47,21.9,46.4,31.6,16.3,6.3,6.8,22.2,75.7,217,NA,NA,75.7,9,72.3,2.17,2.6,5.85,-12.63,18.48,52.57,5.7,1.14,1.06,0.88,1.01,31,4.62,0.52,52.1,96,23.9,91.1,NA,NA,7.9,82.7,16.1,89,NA,NA,NA,NA,0.3,NA,23.9,15.9,NA,4.6,12.8,NA,NA,1.43,2.08,NA,1.81,2.48,NA,NA,37.9,68.8,51.7,57.7,79.7,70.8,44.6,66.5,15.1,0,0,0,45,49,64,32.2,5.5,2.78,3.57,-0.29,42.8,9.2,NA,NA,NA,NA,24,7.9,NA,NA,16.1,NA,NA,NA,96,95.5,NA,NA,NA,NA,91.1,82.7,NA,NA,89,NA,NA,-2.9,-7.3,NA,NA,NA,NA,1.8,3.4,NA,NA,-7.6,NA,NA,9.2,7,NA,NA,NA,NA,3.3,-2.3,NA,NA,3.2,NA,NA,24.4,-0.3,NA,NA,NA,NA,16.7,4.5,NA,NA,12.9,NA,NA,1.77,-0.1,NA,NA,NA,NA,2.17,1.76,NA,NA,2.5,NA,NA,34.7,66.9,51.7,51.2,79.7,70.7,53,21.3,9.6,0.4,0.2,0.6,NA,26.7,42.3,32,25.6,25.2,48.2,26.6,2.6,38.9,16,NA,8,42.6,NA,0,NA,NA,9.5,23.8,NA,89.6,NA,83.3,96.7,NA,93,NA,NA,96.1,91.6,NA,-7.4,NA,3.8,-2.4,NA,1.4,NA,NA,-6.9,2.4,NA,2.9,NA,-2.6,9.4,NA,4.5,NA,NA,7,3.1,NA,12.6,NA,4.6,23.9,NA,0.3,NA,NA,0.3,16.6,NA,2.44,NA,1.78,1.75,NA,34.61,NA,NA,0.11,2.18,NA,33.3,66.6,51.8,49.4,79.3,70.8,55.6,21.9,72.3
"3","12703","3","2020","Trevor Bauer","CIN",29,5,4,1.73,11,11,2,2,0,0,73,278,41,17,14,9,17,1,3,3,0,100,54,75,28,11,424,741,1165,33,5,1,0,12.33,2.1,5.88,5.05,1.11,0.159,0.79,0.215,90.9,2.88,0.72,17.8,34.4,47.8,14.7,12,9.3,0,23.5,73,NA,NA,23.5,2.5,20.1,2.72,3.25,1.53,-3.63,5.16,21.19,2.03,0.9,0.95,0.9,1.18,9,1.73,-0.03,47.8,93.5,16.4,80.7,19.8,85.1,15.7,79.7,0.3,84.3,NA,NA,NA,NA,0.3,NA,12.7,7.6,2.3,-0.2,-1.5,NA,NA,2.28,3.99,0.98,-0.1,-51.57,NA,NA,31.5,67.8,46,56.4,82.9,72,40,59,12.9,0,0,0,38,63,73,36,6.1,2.94,4.07,-1.15,40.4,NA,19.9,NA,NA,7.4,16.3,NA,15.7,NA,0.3,NA,NA,NA,93.5,NA,85,NA,NA,93.3,80.7,NA,79.7,NA,84.3,NA,NA,-5.7,NA,2.6,NA,NA,-8.1,9.3,NA,4.5,NA,-6.7,NA,NA,11.4,NA,-0.5,NA,NA,11.1,-1.7,NA,-11.3,NA,5.8,NA,NA,13.3,NA,2.6,NA,NA,-0.3,7.5,NA,-0.4,NA,-1.5,NA,NA,2.82,NA,1.1,NA,NA,-0.33,3.94,NA,-0.19,NA,-51.57,NA,NA,28.4,65.5,46,53.4,80.9,72,47.5,NA,3.5,1,0,1,NA,29.9,35.4,38.6,25.9,20.3,54.4,25.3,2.58,45.3,0.3,NA,15.7,46.7,19.6,NA,NA,NA,1.1,16.7,NA,84.5,NA,80,93.8,85.3,NA,NA,NA,94.5,80.9,NA,-6.6,NA,5.2,-5.5,3.2,NA,NA,NA,-8.2,10.2,NA,5.3,NA,-13,10.7,-1.3,NA,NA,NA,7.4,-2.9,NA,-1.5,NA,-0.4,14.3,2.5,NA,NA,NA,-1.3,7.6,NA,-51.57,NA,-0.19,2.63,1.08,NA,NA,NA,-9.9,3.91,NA,28.7,64.5,46,53.8,80.7,72,48.3,NA,20.1
"4","13543","4","2018","Blake Snell","TBR",25,21,5,1.89,31,31,0,0,0,0,180.2,700,112,41,38,16,64,2,1,13,0,221,183,149,77,10,1103,1815,2918,108,14,5,0,11.01,3.19,3.45,5.58,0.8,0.176,0.97,0.241,88,2.95,1.23,18.8,44.7,36.4,6.7,10.7,7.7,0,44,180.2,NA,NA,44,4.7,37.9,2.9,3.16,5.01,-8.48,13.49,47.41,4.94,0.97,0.93,0.88,1.14,31,3.81,1.36,51.5,95.8,9.1,88.1,NA,NA,20.2,81.3,19.3,87.5,NA,NA,NA,NA,0.2,NA,8.9,10.6,NA,13.2,7.2,NA,NA,0.59,3.97,NA,2.24,1.28,NA,NA,33.1,65,45.3,50.1,80.2,66.6,38.2,57.1,15.1,0,0,0,46,72,75,31.6,9.1,3.3,5.38,-1.05,51.5,NA,NA,NA,NA,NA,9.1,20.2,NA,NA,19.2,NA,NA,NA,95.8,NA,NA,NA,NA,NA,88,81.3,NA,NA,87.5,NA,NA,3.2,NA,NA,NA,NA,NA,-2.2,-2.8,NA,NA,8.1,NA,NA,10.9,NA,NA,NA,NA,NA,2.1,-5.9,NA,NA,7.5,NA,NA,8.8,NA,NA,NA,NA,NA,10.7,13.4,NA,NA,7.9,NA,NA,0.59,NA,NA,NA,NA,NA,4,2.28,NA,NA,1.42,NA,NA,30.6,62.3,45.3,43.3,80.1,66.7,46.2,23.3,8.1,1.9,1.4,3.3,NA,22.4,33.8,34.5,31.6,18.1,46.1,35.7,3.11,43,19.2,NA,20.2,51.4,NA,0,NA,NA,NA,9.2,NA,88.1,NA,81.8,96.5,NA,93.5,NA,NA,NA,88.7,NA,7.9,NA,-3.3,2.9,NA,5.4,NA,NA,NA,-2.7,NA,6.6,NA,-7.2,10.2,NA,9.1,NA,NA,NA,1.1,NA,7.8,NA,13.6,9.6,NA,-0.3,NA,NA,NA,10.7,NA,1.39,NA,2.31,0.64,NA,-26.12,NA,NA,NA,4,NA,30.7,61.7,45.3,43.2,79.9,66.7,47,23.4,37.9
"5","9434","5","2020","Dallas Keuchel","CHW",32,6,2,1.99,11,11,0,0,0,0,63.1,257,52,15,14,2,17,0,0,0,0,42,103,43,49,6,367,593,960,44,6,3,0,5.97,2.42,2.47,7.39,0.28,0.217,1.09,0.255,81.6,3.08,2.4,25.1,52.8,22.1,14,4.7,5.8,0,17.3,63.1,NA,NA,17.3,1.8,14.3,3.97,3.98,2.23,-2.48,4.71,20.41,1.96,0.91,0.88,0.87,0.93,11,1.86,0.59,34.6,87.3,6.6,75.9,30.9,84.8,NA,NA,27.9,78.6,NA,NA,NA,NA,NA,NA,-0.7,0.5,9.7,NA,4.8,NA,NA,-0.22,0.73,3.26,NA,1.78,NA,NA,31.9,68.4,45,70.4,84.7,78.2,35.9,54.9,9.8,0,0,0,46,68,89,16.3,6.6,4.57,6.25,-1.09,2,NA,31,NA,NA,32.5,6.6,NA,NA,NA,27.9,NA,NA,NA,88.6,NA,84.8,NA,NA,87.2,75.8,NA,NA,NA,78.6,NA,NA,1.5,NA,-1,NA,NA,7.4,-4,NA,NA,NA,8.3,NA,NA,8.2,NA,4.7,NA,NA,4.1,-0.3,NA,NA,NA,3.9,NA,NA,-0.7,NA,9.4,NA,NA,0.8,0.5,NA,NA,NA,4.9,NA,NA,-3.43,NA,3.14,NA,NA,0.25,0.81,NA,NA,NA,1.83,NA,NA,26.3,68.6,45,65.2,84.5,78.2,44.2,NA,2.7,0.6,0.4,0.9,NA,9.7,39.4,41.4,19.2,18.7,56.1,25.3,5,23.7,28.3,NA,NA,2,29.7,NA,NA,NA,33.1,6.9,NA,78.8,NA,NA,88.8,85.1,NA,NA,NA,87.4,76.1,NA,8.3,NA,NA,1,-1.4,NA,NA,NA,7.2,-4.5,NA,2.7,NA,NA,7.4,3.7,NA,NA,NA,3.2,-1.5,NA,5.8,NA,NA,-1.3,9.3,NA,NA,NA,1.8,0.7,NA,1.83,NA,NA,-6,2.78,NA,NA,NA,0.49,0.95,NA,25.2,68.4,44.9,63.6,86,79.2,45.6,NA,14.3
"6","13074","6","2020","Yu Darvish","CHC",33,8,3,2.01,12,12,0,0,0,0,76,297,59,18,17,5,14,1,2,3,0,93,80,57,48,5,357,796,1153,39,4,2,1,11.01,1.66,6.64,6.99,0.59,0.21,0.96,0.295,83.8,2.23,1.4,25.9,43.2,30.8,8.8,8.8,5,50,27.1,76,NA,NA,27.1,3,23.6,2.91,2.82,2.3,-3.95,6.24,22.28,2.18,1.02,0.94,0.88,0.93,12,2.14,0.11,24.8,95.5,14.6,82.1,40.2,86.8,12.4,77.5,3.6,89.9,4.3,90.7,NA,NA,0.3,NA,3.1,4.7,8.4,0.8,2.5,0.5,NA,1.1,2.79,1.82,0.53,5.98,0.93,NA,33.9,65.9,49.3,53.7,80.3,70.8,48,63,14.4,0,0,0,45,51,64,31.3,4.7,3.14,4.62,-0.22,15.4,NA,44.3,4.1,NA,9.5,15.6,3.7,7.2,NA,NA,NA,NA,NA,95.8,NA,87.1,89.5,NA,95,82,72.8,79.6,NA,NA,NA,NA,-4,NA,2,-6.9,NA,-8.5,7.8,5.6,4.9,NA,NA,NA,NA,10.7,NA,0.4,6.2,NA,7.3,-1.2,-8.5,-7.2,NA,NA,NA,NA,2.2,NA,9.9,0.5,NA,1.2,7,-1.3,1.3,NA,NA,NA,NA,1.26,NA,1.93,1.04,NA,1.13,3.89,-2.96,1.62,NA,NA,NA,NA,30.1,64.8,49.4,43.5,81,70.9,55.7,NA,3.5,-0.1,0.6,0.6,NA,26.6,44.9,30.5,24.6,15,50.8,34.2,2.97,37.7,2.3,0.9,15.4,15.5,5,5.1,NA,NA,9.5,46.2,NA,89.9,70.2,79.1,96.2,92.7,90.8,NA,NA,95.1,85.6,NA,-6.7,6.6,6.2,-3.6,1.2,-2.8,NA,NA,-8.1,4.6,NA,5.4,-10.2,-7.5,9.7,6.1,2.3,NA,NA,6.1,-1.7,NA,0.7,0.3,0.3,1.7,-0.2,2,NA,NA,1.5,14.7,NA,2.66,3.1,0.17,0.95,-0.33,3.39,NA,NA,1.41,2.76,NA,31.9,62.7,49.3,43.4,81.5,70.8,56.7,NA,23.6
"7","17186","7","2020","Dinelson Lamet","SDP",27,3,1,2.09,12,12,0,0,0,0,69,267,39,18,16,5,20,0,4,1,0,93,55,63,31,3,351,695,1046,40,2,1,1,12.13,2.61,4.65,5.09,0.65,0.16,0.86,0.234,80.4,2.48,0.87,20.8,36.9,42.3,4.8,7.9,3.6,100,23.1,69,NA,NA,23.1,2.5,19.6,2.56,3.3,1.32,-3.71,5.04,15.5,1.59,0.99,0.98,0.87,1.08,12,1.8,-0.47,46.3,97.1,53.4,86.6,NA,NA,NA,NA,0.3,93.7,NA,NA,NA,NA,NA,NA,2.2,20,NA,NA,-0.1,NA,NA,0.44,3.58,NA,NA,-2.38,NA,NA,32.4,65.5,47.2,48.7,82.4,69.6,44.8,65.5,14.3,0,0,0,48,56,74,34.8,7.5,3.16,5.22,-0.39,36.7,NA,NA,NA,NA,9.9,53.4,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,97,86.5,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,-7.5,1.9,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,9.9,1.7,NA,NA,NA,NA,NA,NA,-1.3,NA,NA,NA,NA,4.8,19.7,NA,NA,NA,NA,NA,NA,-0.35,NA,NA,NA,NA,4.67,3.54,NA,NA,NA,NA,NA,NA,31,63,47.4,42.4,82.5,69.7,51.2,NA,3,0.8,-0.2,0.5,NA,27.3,35.3,36,28.7,16.7,47.3,36,2.89,44.2,0.1,NA,NA,41.2,NA,NA,NA,NA,5.3,53.4,NA,92.5,NA,NA,97.1,NA,NA,NA,NA,97.1,86.5,NA,-7.6,NA,NA,-3.4,NA,NA,NA,NA,-7.5,3,NA,5.7,NA,NA,8.9,NA,NA,NA,NA,7.8,0.1,NA,0,NA,NA,2.8,NA,NA,NA,NA,0.8,19.7,NA,-2.4,NA,NA,0.65,NA,NA,NA,NA,1.37,3.52,NA,31,62.1,47.4,40.3,83,69.7,52.5,NA,19.6
"8","12049","8","2016","Kyle Hendricks","CHC",26,16,8,2.13,31,30,2,1,0,0,190,745,142,53,45,15,44,3,8,5,0,170,249,161,104,15,1001,1887,2888,110,17,9,3,8.05,2.08,3.86,6.73,0.71,0.205,0.98,0.25,81.5,3.2,1.55,20.2,48.4,31.3,9.3,9.3,6.8,33.3,38.6,188,0.3,2,38.8,4.2,33.3,3.5,3.59,4.34,-8.35,12.69,44.48,4.49,0.85,0.85,0.86,0.78,29,4.55,0.57,65.2,87.8,NA,NA,NA,NA,7.8,75.5,27.1,80.1,NA,NA,NA,NA,0.5,NA,13.9,NA,NA,0.8,21.5,NA,NA,0.74,NA,NA,0.36,2.76,NA,NA,31.8,59.5,42.9,63.2,87.2,76.6,40.2,68.6,10,0,1,0,51,78,87,22.8,5.9,3.7,5.21,-1.07,3.7,NA,16.1,NA,NA,45.4,NA,7.8,NA,NA,27.1,NA,NA,NA,89.6,NA,87.9,NA,NA,87.5,NA,75.4,NA,NA,80.1,NA,NA,-2.4,NA,-2.1,NA,NA,-6.8,NA,8,NA,NA,-4.6,NA,NA,8.1,NA,8.7,NA,NA,4.8,NA,-5.2,NA,NA,4.8,NA,NA,0,NA,6.5,NA,NA,7.6,NA,1.1,NA,NA,21.9,NA,NA,-0.03,NA,1.41,NA,NA,0.58,NA,0.48,NA,NA,2.81,NA,NA,29.3,56.1,42.9,60.1,84.9,76.6,50.8,19,6.6,2.2,0.3,2.5,NA,16.9,37.7,36.7,25.6,25,49.1,25.8,3.71,30.7,27.1,NA,7.8,20.7,NA,NA,NA,NA,44.4,0,NA,80.6,NA,76.2,88.9,NA,NA,NA,NA,88.1,88.2,NA,-4.4,NA,8.2,-2.2,NA,NA,NA,NA,-6.6,-7.5,NA,4.9,NA,-5,8.7,NA,NA,NA,NA,4.9,4.3,NA,21.7,NA,1.1,6.5,NA,NA,NA,NA,9.3,0.1,NA,2.82,NA,0.5,1.1,NA,NA,NA,NA,0.74,5.72,NA,31.1,54.9,42.9,63.4,84.6,76.9,49.9,19.6,33.3
"9","12703","9","2018","Trevor Bauer","CLE",27,12,6,2.21,28,27,0,0,1,0,175.1,717,134,51,43,9,57,2,9,12,0,221,188,145,89,16,1045,1808,2853,97,11,7,2,11.34,2.93,3.88,6.88,0.46,0.206,1.09,0.297,79.5,2.44,1.3,21.1,44.5,34.4,11,6.2,5.9,28.6,51,171.1,1.1,4,52.1,5.8,46.6,2.8,3.14,3.87,-9.84,13.71,41.98,4.13,0.99,0.97,0.9,1.09,27,3.63,0.26,42.1,94.5,14.1,82.1,10.1,86.8,26.7,79.1,7,87,NA,NA,NA,NA,0.2,NA,8.7,11.2,1.1,3.3,4,NA,NA,0.72,2.78,0.37,0.44,2.02,NA,NA,31.4,63.8,45,50.4,84.2,70.5,42,63.7,13.3,0,1,0,50,58,74,30.8,7.9,3.21,4.98,-0.23,36.9,5.2,10.5,NA,NA,NA,13.7,NA,26.7,NA,7,NA,NA,NA,94.5,94.4,86.7,NA,NA,NA,82,NA,79.1,NA,87,NA,NA,-5.2,-9.4,2.4,NA,NA,NA,6.8,NA,4.2,NA,-9.4,NA,NA,9.5,6.4,0.7,NA,NA,NA,-0.8,NA,-10.3,NA,4,NA,NA,12.1,-3.1,0.7,NA,NA,NA,11.8,NA,3.6,NA,4,NA,NA,1.15,-2.06,0.25,NA,NA,NA,3.03,NA,0.47,NA,1.98,NA,NA,28.7,61.6,45,43.2,83.5,70.6,49.6,23.2,6.4,-0.1,0.7,0.6,NA,22.9,43.1,35.4,21.4,15.9,48.3,35.9,3.06,40,6.8,NA,26.7,36.9,10,NA,NA,NA,5.5,14,0,87.5,NA,79.6,95,87.2,NA,NA,NA,94.9,82.6,88.8,-9,NA,4.9,-4.5,3.2,NA,NA,NA,-8.5,7.7,3.2,3.7,NA,-11.2,9.4,0.5,NA,NA,NA,6.4,-1.2,1.3,4.1,NA,4,12.8,1.8,NA,NA,NA,-3.4,10.8,0.1,2.12,NA,0.53,1.22,0.62,NA,NA,NA,-2.17,2.69,6.27,28.8,61.1,45.1,41.8,83.7,70.4,50.4,23.6,46.6
"10","2429","10","2017","Corey Kluber","CLE",31,18,4,2.25,29,29,5,3,0,0,203.2,777,141,56,51,21,36,2,5,4,0,265,208,156,103,18,940,2005,2945,118,14,4,0,11.71,1.59,7.36,6.23,0.93,0.192,0.87,0.267,82.6,2.5,1.33,22.1,44.5,33.4,11.5,13.5,6.7,0,64.9,203.2,NA,NA,64.9,7.2,57.7,2.93,2.52,4.72,-9.75,14.47,53.46,5.19,0.91,0.93,0.86,1.14,24,5.31,-0.13,42.5,92.6,NA,NA,23.7,89,27.4,84.4,6.5,85.8,NA,NA,NA,NA,0.3,NA,-2.3,NA,9,38.2,6.7,NA,NA,-0.18,NA,1.28,4.73,3.51,NA,NA,35.6,63.7,49,44.9,82.4,68.1,47.8,64.4,15.6,0,0,0,49,57,57,34.1,4.6,2.68,5.21,-0.25,14.4,NA,22.8,NA,NA,28.6,NA,28.1,NA,NA,6.1,NA,NA,NA,92.7,NA,89,NA,NA,92.5,NA,84.4,NA,NA,85.8,NA,NA,-4,NA,1.1,NA,NA,-8.8,NA,6.9,NA,NA,-7.8,NA,NA,8.9,NA,3.8,NA,NA,5.9,NA,2.3,NA,NA,3.7,NA,NA,4.6,NA,8,NA,NA,-6.8,NA,39.7,NA,NA,8.4,NA,NA,1.09,NA,1.19,NA,NA,-0.81,NA,4.82,NA,NA,4.66,NA,NA,33.2,62.7,48.9,40.8,80.8,68.1,53.3,23.3,8.6,1.2,0.2,1.4,NA,29.5,38.9,36.1,25.1,24.4,46.7,28.9,2.39,41.4,6.3,NA,NA,14.5,24.1,NA,NA,NA,28,27.1,0.1,86,NA,NA,92.9,89.2,NA,NA,NA,92.8,84.6,90.8,-6.9,NA,NA,-3.3,1.8,NA,NA,NA,-8.1,7.8,0.5,3.2,NA,NA,8.5,3.3,NA,NA,NA,5.5,1.7,4.6,7.6,NA,NA,5.7,9.7,NA,NA,NA,-7.1,37.4,0.2,4.13,NA,NA,1.34,1.38,NA,NA,NA,-0.86,4.7,9.44,35.6,60.6,48.9,40.6,82.4,68.1,53,23.5,57.7
