"","playerid","Seasons","#","Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K_9","BB_9","K_BB","H_9","HR_9","AVG","WHIP","BABIP","LOB_pct","FIP","GB_FB","LD_pct","GB_pct","FB_pct","IFFB_pct","HR_FB","IFH_pct","BUH_pct","Starting","Start_IP","Relieving","Relief_IP","RAR","WAR","Dollars","tERA","xFIP","WPA","WPA_minus","WPA_plus","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA_LI","Clutch","FBall_pct","FBv","SL_pct","SLv","CT_pct","CTv","CB_pct","CBv","CH_pct","CHv","SF_pct","SFv","KN_pct","KNv","XX_pct","PO_pct","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB_C","wSL_C","wCT_C","wCB_C","wCH_C","wSF_C","wKN_C","O-Swing_pct","Z-Swing_pct","Swing_pct","O-Contact_pct","Z-Contact_pct","Contact_pct","Zone_pct","F-Strike_pct","SwStr_pct","HLD","SD","MD","ERA-","FIP-","xFIP-","K_pct","BB_pct","SIERA","RS_9","E-F","FA_pct_pfx","FT_pct_pfx","FC_pct_pfx","FS_pct_pfx","FO_pct_pfx","SI_pct_pfx","SL_pct_pfx","CU_pct_pfx","KC_pct_pfx","EP_pct_pfx","CH_pct_pfx","SC_pct_pfx","KN_pct_pfx","UN_pct_pfx","vFA_pfx","vFT_pfx","vFC_pfx","vFS_pfx","vFO_pfx","vSI_pfx","vSL_pfx","vCU_pfx","vKC_pfx","vEP_pfx","vCH_pfx","vSC_pfx","vKN_pfx","FA-X_pfx","FT-X_pfx","FC-X_pfx","FS-X_pfx","FO-X_pfx","SI-X_pfx","SL-X_pfx","CU-X_pfx","KC-X_pfx","EP-X_pfx","CH-X_pfx","SC-X_pfx","KN-X_pfx","FA-Z_pfx","FT-Z_pfx","FC-Z_pfx","FS-Z_pfx","FO-Z_pfx","SI-Z_pfx","SL-Z_pfx","CU-Z_pfx","KC-Z_pfx","EP-Z_pfx","CH-Z_pfx","SC-Z_pfx","KN-Z_pfx","wFA_pfx","wFT_pfx","wFC_pfx","wFS_pfx","wFO_pfx","wSI_pfx","wSL_pfx","wCU_pfx","wKC_pfx","wEP_pfx","wCH_pfx","wSC_pfx","wKN_pfx","wFA_C_pfx","wFT_C_pfx","wFC_C_pfx","wFS_C_pfx","wFO_C_pfx","wSI_C_pfx","wSL_C_pfx","wCU_C_pfx","wKC_C_pfx","wEP_C_pfx","wCH_C_pfx","wSC_C_pfx","wKN_C_pfx","O-Swing_pct_pfx","Z-Swing_pct_pfx","Swing_pct_pfx","O-Contact_pct_pfx","Z-Contact_pct_pfx","Contact_pct_pfx","Zone_pct_pfx","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","AgeRng","K-BB_pct","Pull_pct","Cent_pct","Oppo_pct","Soft_pct","Med_pct","Hard_pct","kwERA","TTO_pct","CH_pct_pi","CS_pct_pi","CU_pct_pi","FA_pct_pi","FC_pct_pi","FS_pct_pi","KN_pct_pi","SB_pct_pi","SI_pct_pi","SL_pct_pi","XX_pct_pi","vCH_pi","vCS_pi","vCU_pi","vFA_pi","vFC_pi","vFS_pi","vKN_pi","vSB_pi","vSI_pi","vSL_pi","vXX_pi","CH-X_pi","CS-X_pi","CU-X_pi","FA-X_pi","FC-X_pi","FS-X_pi","KN-X_pi","SB-X_pi","SI-X_pi","SL-X_pi","XX-X_pi","CH-Z_pi","CS-Z_pi","CU-Z_pi","FA-Z_pi","FC-Z_pi","FS-Z_pi","KN-Z_pi","SB-Z_pi","SI-Z_pi","SL-Z_pi","XX-Z_pi","wCH_pi","wCS_pi","wCU_pi","wFA_pi","wFC_pi","wFS_pi","wKN_pi","wSB_pi","wSI_pi","wSL_pi","wXX_pi","wCH_C_pi","wCS_C_pi","wCU_C_pi","wFA_C_pi","wFC_C_pi","wFS_C_pi","wKN_C_pi","wSB_C_pi","wSI_C_pi","wSL_C_pi","wXX_C_pi","O-Swing_pct_pi","Z-Swing_pct_pi","Swing_pct_pi","O-Contact_pct_pi","Z-Contact_pct_pi","Contact_pct_pi","Zone_pct_pi","Pace_pi","Dol"
"1","2036","2016-2020","1","Clayton Kershaw","LAD",30,61,20,2.44,113,112,4,3,0,0,722,2800,558,216,196,84,119,1,7,26,6,780,900,582,368,68,3336,7171,10507,451,66,39,7,9.72,1.48,6.55,6.96,1.05,0.209,0.94,0.262,82.6,3.05,1.55,19.9,48.6,31.5,11.7,14.4,7.3,17.9,172.9,720.3,0.3,1,173.2,18.9,151,3.1,2.98,14.28,-38.9,53.17,138.36,14.44,0.97,0.95,0.87,1.09,109,13.8,0.87,45.1,91.8,37.8,87.8,NA,NA,16.5,73.4,0.6,85.7,NA,NA,NA,NA,0,NA,39,83.7,NA,20.6,1.4,NA,NA,0.82,2.11,NA,1.19,1.99,NA,NA,33.4,70.5,51,54.7,84.3,74.1,47.3,69.3,13.2,0,0,0,60,72,70,27.9,4.3,3.2,5.62,-0.6,45,0.4,NA,NA,NA,NA,37.4,16.6,NA,NA,0.6,NA,NA,NA,91.7,94.4,NA,NA,NA,NA,87.8,73.3,NA,NA,85.7,NA,NA,0.3,7.2,NA,NA,NA,NA,-2.1,-1.2,NA,NA,6.5,NA,NA,12.1,11.1,NA,NA,NA,NA,5.9,-8.8,NA,NA,11.6,NA,NA,46.3,0.3,NA,NA,NA,NA,78.7,20,NA,NA,1.4,NA,NA,0.99,0.69,NA,NA,NA,NA,2.04,1.17,NA,NA,2.36,NA,NA,31.6,68.7,50.9,51.4,83.5,73.9,52.1,23.3,24.2,5.6,-0.3,5.3,NA,23.6,46.3,32.4,21.3,20.8,45.4,33.8,3.13,35.1,0.6,NA,16.5,45,NA,NA,NA,NA,0.3,37.6,0,86,NA,73.7,92.1,NA,NA,NA,NA,94,88.1,79.1,5.8,NA,-1.3,0.1,NA,NA,NA,NA,6.6,-2.3,-15,10.2,NA,-10,11.2,NA,NA,NA,NA,10,4.9,-6.9,1.7,NA,18.9,48.3,NA,NA,NA,NA,-1.9,78.9,-0.8,2.65,NA,1.11,1.04,NA,NA,NA,NA,-5.35,2.04,-20.86,33.3,67.8,51,51.7,84.3,73.9,51.2,23.6,151
"2","10954","2016-2020","2","Jacob deGrom","NYM",30,47,37,2.61,131,131,3,1,0,0,838.1,3338,675,268,243,79,203,9,17,19,0,1010,935,687,446,82,4287,8878,13165,422,62,40,9,10.84,2.18,4.98,7.25,0.85,0.216,1.05,0.294,79.9,2.78,1.36,21.6,45.2,33.2,11.9,11.5,6.6,22.5,232.7,838.1,NA,NA,232.7,25.7,205.9,2.91,3.02,14.82,-48.92,63.75,137.55,14.53,1.01,0.96,0.88,1,128,13.41,1.34,52.9,95.7,25.6,91,NA,NA,7.1,81.8,14.4,88.9,NA,NA,NA,NA,0.2,NA,65.5,61,NA,4.9,28.4,NA,NA,0.94,1.81,NA,0.52,1.5,NA,NA,35.5,70.8,51.1,58.2,80.1,71.6,44.1,64.4,14.5,0,0,0,65,66,71,30.3,6.1,3.21,4.53,-0.17,43.5,9.6,NA,NA,NA,NA,25.6,7.3,NA,NA,14,NA,NA,NA,95.8,94.4,NA,NA,NA,NA,91,81.9,NA,NA,88.9,NA,NA,-3.8,-8.4,NA,NA,NA,NA,1.4,3.4,NA,NA,-8.1,NA,NA,9.5,6.8,NA,NA,NA,NA,3.6,-2.2,NA,NA,3.3,NA,NA,64,3.3,NA,NA,NA,NA,63.8,5,NA,NA,28.4,NA,NA,1.13,0.27,NA,NA,NA,NA,1.91,0.53,NA,NA,1.55,NA,NA,31.9,68.3,51.1,52.4,79.5,71.5,52.6,22.5,26.7,0.3,0.6,1,NA,24.2,37.4,34.1,28.6,21.6,48.3,30.1,3.06,38.7,14.2,NA,7.2,43.2,NA,0,NA,NA,9.8,25.6,0,89.4,NA,82.4,96.4,NA,93,NA,NA,95.1,91.4,84.9,-7.6,NA,4,-3.1,NA,1.4,NA,NA,-7.5,2.1,0.6,3,NA,-2.4,9.3,NA,4.5,NA,NA,7.1,3.2,13.3,23.3,NA,5.4,63.9,NA,0.3,NA,NA,5.2,65.6,0,1.27,NA,0.58,1.15,NA,34.61,NA,NA,0.41,1.98,0,31.6,68.1,51,52,79.2,71.3,53.2,22.9,205.9
"3","9111","2016-2020","3","Brad Hand","- - -",28,17,18,2.7,306,0,0,0,104,23,320,1304,235,109,96,31,106,12,23,14,0,434,301,275,154,27,1837,3330,5167,97,16,9,2,12.21,2.98,4.09,6.61,0.87,0.2,1.07,0.287,79.5,2.92,1.09,21.1,41.2,37.7,9.8,11.3,5.3,22.2,NA,NA,69.8,318.6,69.8,7.1,56.5,3.11,3.2,9.67,-33.41,43.08,64.17,6.29,1.73,1.45,1.57,1.42,141,4.73,0.87,51.5,93.1,45.2,81.8,NA,NA,3,78.3,0.3,86.9,NA,NA,NA,NA,0.8,NA,20.4,38.4,NA,0.2,-2.7,NA,NA,0.77,1.65,NA,0.15,-16.66,NA,NA,31.3,61.6,44.6,53.6,82.4,71,43.8,59.7,12.9,48,134,40,64,69,75,33.3,8.1,2.79,2.73,-0.22,30.5,20.2,NA,NA,NA,0.9,38.4,9.8,NA,NA,0.3,NA,NA,NA,93,93,NA,NA,NA,91.4,81.6,81.1,NA,NA,86.7,NA,NA,6.6,10.1,NA,NA,NA,10.7,-8.6,-4.9,NA,NA,5.4,NA,NA,8.8,4.7,NA,NA,NA,5.7,-1.4,-2.2,NA,NA,5.7,NA,NA,21.3,0,NA,NA,NA,0.2,30.1,10.6,NA,NA,-1.8,NA,NA,1.36,0,NA,NA,NA,0.42,1.53,2.11,NA,NA,-11.09,NA,NA,28.4,59.8,44.6,48,81.7,71.3,51.5,28.7,7.8,0.6,0.1,0.7,NA,25.2,39.8,33.7,26.5,18.9,49.1,31.9,2.9,43.8,0.4,NA,2.9,31.1,NA,NA,NA,NA,20.3,45.1,0.2,87.8,NA,79.1,93.5,NA,NA,NA,NA,93.6,82.1,83.3,6.5,NA,-5.5,6.5,NA,NA,NA,NA,10.2,-8.1,-4,4.4,NA,-6,8.3,NA,NA,NA,NA,4.4,-1.9,6.4,-1.7,NA,0.4,20.8,NA,NA,NA,NA,1.1,40.3,0.1,-9.55,NA,0.24,1.31,NA,NA,NA,NA,0.1,1.75,1.3,29.3,58.6,44.6,47.3,82.2,71.2,52.1,29.1,56.5
"4","14444","2016-2020","4","Hyun-Jin Ryu","- - -",31,31,20,2.8,82,81,1,1,1,0,463.1,1887,424,162,144,55,103,7,10,5,1,444,625,382,292,32,2564,4729,7293,247,41,31,9,8.62,2,4.31,8.24,1.07,0.239,1.14,0.289,81.5,3.54,1.64,22.5,48.1,29.4,8.4,14.4,6.6,29,86.7,457.7,0.5,4,87.2,9.1,72.8,3.94,3.52,7.21,-27.59,34.8,66.75,7.17,0.95,0.93,0.87,1.02,80,4.33,3.24,38.2,90.3,1.6,78.8,20.5,86.7,14.4,72.5,25.3,80.4,NA,NA,NA,NA,0.4,NA,-13.5,-0.1,6.9,11.1,40.7,NA,NA,-0.49,-0.12,0.46,1.05,2.21,NA,NA,33.7,66.8,47.1,64.9,84.1,76,40.6,60.3,11.3,0,1,0,67,83,81,23.5,5.5,3.83,4.8,-0.75,29.9,6.8,20.3,NA,NA,1.7,1.6,14.4,NA,0,25.3,NA,NA,NA,90.4,90,86.6,NA,NA,89.2,78.6,72.5,NA,63.8,80.4,NA,NA,6.4,9.2,0.1,NA,NA,9.5,-1,-6.3,NA,-3.5,8.2,NA,NA,8.5,5.6,4.7,NA,NA,5.7,-0.5,-7.3,NA,3.1,4.5,NA,NA,-8.3,-4.1,10.3,NA,NA,-1.3,-0.5,12.3,NA,0,45.2,NA,NA,-0.38,-0.83,0.7,NA,NA,-1.08,-0.43,1.17,NA,-3.61,2.46,NA,NA,29.6,65.1,47.1,58.8,84,76,49.4,24.1,13.2,0.6,3.5,4.1,NA,18.1,43.2,32.9,23.9,18.9,47.6,33.5,3.89,31.9,25.2,0,14.5,30.2,20.5,NA,NA,NA,7.9,1.6,0,80.6,65.2,72.8,90.7,86.9,NA,NA,NA,90.1,79.1,68.4,7.8,-7.3,-6.8,6,-0.3,NA,NA,NA,9.1,-1.4,6.2,3.5,-8.2,-8.5,7.8,3.9,NA,NA,NA,4.7,-1.5,4.5,44.2,-0.1,11.9,-13.5,8.8,NA,NA,NA,1,-0.4,-0.1,2.41,-3.74,1.13,-0.62,0.59,NA,NA,NA,0.17,-0.3,-6.16,30.4,64.2,47.1,58.7,84.2,75.9,49.4,24.3,72.8
"5","3137","2016-2020","5","Max Scherzer","WSN",33,70,31,2.8,137,137,6,1,0,0,889.1,3536,655,294,277,104,218,11,37,16,2,1187,733,925,402,117,4507,9643,14150,539,42,32,4,12.01,2.21,5.44,6.63,1.05,0.2,0.98,0.277,80.6,2.88,0.79,19.5,35.6,44.9,12.6,11.2,5.7,12.5,252.7,887.7,NA,NA,252.7,27.9,222.9,2.94,3.19,16.91,-48.56,65.47,163.63,16.64,0.95,0.95,0.88,1.05,131,15.9,1.94,50.5,94.4,21.6,85.8,5.4,89.4,8.2,78,14.2,84.6,NA,NA,NA,NA,0.2,NA,81.8,88.6,-4.3,-5.8,4,NA,NA,1.15,2.9,-0.56,-0.5,0.2,NA,NA,35,70.2,51.6,53.5,78.5,69.5,47,66.2,15.7,0,0,0,65,67,75,33.6,6.2,2.96,5.45,-0.08,49.6,0.9,6.8,NA,NA,NA,20.2,8.3,NA,NA,14.3,NA,NA,NA,94.4,93.8,89.1,NA,NA,NA,85.6,78,NA,NA,84.5,NA,NA,-7.4,-9.3,-0.6,NA,NA,NA,0.9,4.6,NA,NA,-9.3,NA,NA,8.5,6.5,4.3,NA,NA,NA,1.5,-3.8,NA,NA,1.5,NA,NA,80.2,1.7,6,NA,NA,NA,82.1,-5.5,NA,NA,3.9,NA,NA,1.15,1.37,0.62,NA,NA,NA,2.88,-0.47,NA,NA,0.2,NA,NA,32.6,67.4,51.6,50.5,77.1,69.4,54.4,23.9,29.6,3.3,-1.5,1.8,NA,27.4,40.5,31.4,28.1,21.1,48.6,30.3,2.64,42.7,14.3,NA,8.4,50.3,6.8,NA,NA,NA,0,20.2,0,85,NA,78.4,94.9,89.5,NA,NA,NA,95,86.1,88.5,-8.7,NA,5.3,-6.7,0.3,NA,NA,NA,-3.8,1.6,-15.6,0.9,NA,-4.3,8.1,4,NA,NA,NA,8.5,1,-5.4,5.2,NA,-6.7,85.9,0.4,NA,NA,NA,0.1,86.9,0.1,0.26,NA,-0.57,1.21,0.04,NA,NA,NA,7.4,3.05,4.32,33.1,66.9,51.5,49.9,77.3,69.3,54.4,24.2,222.9
"6","17130","2016-2020","6","Raisel Iglesias","CIN",28,15,25,2.85,256,5,0,0,106,16,316.1,1292,249,108,100,37,104,9,11,9,2,375,303,294,194,31,1788,3330,5118,97,17,11,2,10.67,2.96,3.61,7.08,1.05,0.212,1.12,0.277,82,3.41,1.03,24.5,38.3,37.2,10.5,12.6,5.6,18.2,5.3,28.1,54.3,288,59.6,6.1,48.4,4.06,3.55,6.2,-31.98,38.18,50.51,5.04,1.56,1.45,1.54,1.77,55,4.19,-0.22,52.4,95.1,30.5,84.4,NA,NA,NA,NA,17.1,88.1,NA,NA,NA,NA,0.7,NA,11.2,27.4,NA,NA,8.7,NA,NA,0.42,1.76,NA,NA,1,NA,NA,33,66.5,48.2,55.9,78.6,70.1,45.2,59.1,14.4,12,112,35,65,79,84,29,8,3.26,2.76,-0.57,28.8,0,NA,NA,NA,24.6,30.1,0,NA,NA,16.4,NA,NA,NA,95.4,93.3,NA,NA,NA,94.1,84.3,66.4,NA,NA,88,NA,NA,-5.6,-5.4,NA,NA,NA,-9.4,4.9,-0.7,NA,NA,-9.7,NA,NA,9.5,7.2,NA,NA,NA,5.8,1.2,8.8,NA,NA,2.9,NA,NA,3.8,-0.1,NA,NA,NA,7.2,26.8,-0.1,NA,NA,13.8,NA,NA,0.26,-3.8,NA,NA,NA,0.57,1.75,-3.49,NA,NA,1.65,NA,NA,30.2,64.6,48.2,52,77.9,70.1,52.2,23.2,8.5,1.2,1.3,2.4,NA,21,38.8,33.4,27.8,19.5,50.9,29.7,3.42,39.9,17.4,NA,0,41.1,0,NA,NA,NA,11,30.4,0.2,88.6,NA,97.4,95.9,88.3,NA,NA,NA,93.8,84.8,86.2,-9.2,NA,-3.6,-6.2,5.1,NA,NA,NA,-9.8,5.4,-5.7,2.2,NA,8.7,8.3,2,NA,NA,NA,4.8,0.7,3.7,9.8,NA,0.1,14.4,0.2,NA,NA,NA,-3.1,26.7,1.2,1.11,NA,6.27,0.69,23.72,NA,NA,NA,-0.55,1.73,13.46,31.5,62.8,48.1,51,78.4,69.9,52.9,23.8,48.4
"7","8700","2016-2020","7","Justin Verlander","- - -",35,69,32,2.87,136,136,5,2,0,0,876.2,3453,637,292,280,123,209,5,26,20,2,1070,708,993,428,119,4606,9541,14147,482,43,18,6,10.98,2.15,5.12,6.54,1.26,0.198,0.97,0.254,82.9,3.36,0.71,20.1,33.3,46.6,12,12.4,6.1,33.3,210.3,876.2,NA,NA,210.3,22.3,178.8,3.34,3.53,17.1,-48.02,65.13,164.7,16.43,0.95,0.98,0.87,1.14,131,13.31,4.61,56.7,94.6,22.6,87.6,0.2,91.3,15.9,79.6,4.6,86.3,NA,NA,NA,NA,0.1,NA,88.4,56.4,-2.3,21.9,-9.2,NA,NA,1.1,1.76,-8.67,0.98,-1.4,NA,NA,34.5,69.5,50.4,60.6,81.4,73.6,45.5,64.7,13.3,0,0,0,67,77,81,31,6.1,3.24,4.95,-0.48,56.7,0.1,0.2,NA,NA,NA,22.4,15.8,NA,NA,4.7,NA,NA,NA,94.6,95.6,91.8,NA,NA,NA,87.5,79.5,NA,NA,86.3,NA,NA,-7.3,-13,-1.9,NA,NA,NA,0.9,4.5,NA,NA,-10,NA,NA,11,7.4,7.6,NA,NA,NA,3.8,-6.2,NA,NA,4.9,NA,NA,90.5,0.2,-1.1,NA,NA,NA,51.3,22.6,NA,NA,-8.3,NA,NA,1.14,1.95,-3.17,NA,NA,NA,1.64,1.03,NA,NA,-1.28,NA,NA,32.3,66.4,50.4,57.3,80.7,73.7,53.2,25.4,28.9,7.8,-1.3,6.5,NA,24.9,39.5,35.4,25.1,18.5,48,33.5,2.94,40.6,4.6,NA,15.8,56.7,0.5,NA,NA,NA,0,22.4,0,86.8,NA,79.9,95,90.2,NA,NA,NA,93.7,87.9,96,-9.7,NA,5.1,-6.8,0.5,NA,NA,NA,-7.5,1.5,2.1,4.5,NA,-6.9,10.5,6.2,NA,NA,NA,9.5,3.1,2.4,-8.4,NA,22.3,88.3,1.1,NA,NA,NA,0.1,50.9,0.1,-1.31,NA,1.02,1.12,1.75,NA,NA,NA,2.5,1.63,14.56,32.7,65.4,50.4,57.4,80.6,73.7,54.1,26.6,178.8
"8","2429","2016-2020","8","Corey Kluber","- - -",32,58,23,2.93,102,102,10,6,0,0,670.1,2650,534,239,218,72,143,3,18,12,1,753,756,592,364,52,3326,6618,9944,422,44,23,7,10.11,1.92,5.27,7.17,0.97,0.215,1.01,0.278,76.7,3.03,1.28,21.3,44.2,34.6,8.8,12.2,5.8,30.4,167.5,669.4,NA,NA,167.5,18.2,145.4,3.48,3.15,10.31,-35.37,45.68,113.75,11.08,0.88,0.88,0.87,0.98,92,12.89,-1.17,44.9,92.3,NA,NA,25.9,88.8,23.2,83.9,6,85.4,NA,NA,NA,NA,0.1,NA,-27.5,NA,42.5,83.9,7.5,NA,NA,-0.62,NA,1.65,3.64,1.27,NA,NA,34.9,65.3,48.4,52.7,85.9,72.6,44.4,63.4,13.3,0,0,0,66,70,73,28.4,5.4,3.24,5.67,-0.1,13.4,NA,17.9,NA,NA,32.1,7.8,22.9,NA,NA,5.9,NA,NA,NA,92.3,NA,88.7,NA,NA,92.3,88.8,83.8,NA,NA,85.3,NA,NA,-3.4,NA,1.1,NA,NA,-8.5,2.9,8.1,NA,NA,-7.3,NA,NA,8.6,NA,3.4,NA,NA,5.5,3.8,1.2,NA,NA,3.1,NA,NA,4.4,NA,22.7,NA,NA,-28.7,21.5,83.7,NA,NA,10,NA,NA,0.34,NA,1.29,NA,NA,-0.91,2.81,3.71,NA,NA,1.73,NA,NA,32.4,63.3,48.4,47.3,84.4,72.4,51.8,22.9,20.8,2.7,0,2.7,NA,23,38.9,32.9,28.2,19.4,49,31.6,3.09,36.5,6,NA,0,13.1,26,NA,NA,NA,31.8,23,0.1,85.9,NA,83.9,93,89.3,NA,NA,NA,92.9,84.3,90.1,-7,NA,9.4,-3.4,2,NA,NA,NA,-8.2,8.6,1.9,2.8,NA,0.6,8.4,3.3,NA,NA,NA,5.3,0.8,4.4,9.4,NA,0,4.2,42.5,NA,NA,NA,-28.4,83.6,1.7,1.6,NA,-2.64,0.32,1.67,NA,NA,NA,-0.91,3.7,19.26,33.1,62.5,48.4,46.5,85.1,72.4,51.9,23.3,145.4
"9","12572","2016-2020","9","Blake Treinen","- - -",30,25,17,2.93,297,0,0,0,72,18,307.1,1276,258,114,100,23,122,14,9,14,0,318,455,194,167,17,1691,3083,4774,119,43,10,3,9.31,3.57,2.61,7.56,0.67,0.225,1.24,0.292,77.1,3.35,2.35,20.5,55.8,23.8,8.8,11.9,9.5,30,NA,NA,54.5,305.7,54.5,5.6,44.9,3.63,3.51,7,-31.98,38.97,32.31,3.45,1.66,1.44,1.64,1.46,149,3.23,1,67.3,96.7,22.8,88.3,8,93.5,NA,NA,1.9,89.1,NA,NA,NA,NA,1.1,NA,21.6,19.1,6.8,NA,-0.2,NA,NA,0.68,1.76,1.8,NA,-0.27,NA,NA,36.7,66.4,49.5,55.4,85,72.5,43.3,58.9,13.5,44,119,49,68,78,81,24.9,9.6,3.54,3.48,-0.42,13.9,NA,7.4,NA,NA,53.4,23.4,NA,NA,NA,1.9,NA,NA,NA,97.2,NA,93.6,NA,NA,96.6,88.4,NA,NA,NA,89.1,NA,NA,-6.6,NA,-0.7,NA,NA,-10.4,1,NA,NA,NA,-8.9,NA,NA,8.3,NA,4.8,NA,NA,3.8,-1.3,NA,NA,NA,3.1,NA,NA,2.3,NA,6.1,NA,NA,20.9,17.9,NA,NA,NA,1,NA,NA,0.35,NA,1.74,NA,NA,0.83,1.62,NA,NA,NA,1.14,NA,NA,33.1,65.1,49.4,49.7,83.9,72.7,51,27.1,7.8,0.3,1.9,2.2,NA,15.4,42,32.4,25.5,20.8,49.8,29.4,4.1,36.3,2,NA,0.1,15.7,7.5,NA,NA,NA,51.5,23.2,NA,89.4,NA,94.7,97.5,93.8,NA,NA,NA,97.1,88.8,NA,-8.6,NA,-4.6,-6,0.7,NA,NA,NA,-9.9,1.8,NA,2.6,NA,2.6,7.5,3.9,NA,NA,NA,3.1,-1.8,NA,0.7,NA,0.2,4.3,6.5,NA,NA,NA,19,17.8,NA,0.69,NA,7.7,0.58,1.85,NA,NA,NA,0.78,1.63,NA,34.9,63.8,49.5,51.1,84.5,72.8,50.4,27.7,44.9
"10","12049","2016-2020","10","Kyle Hendricks","CHC",28,54,39,3,130,129,4,3,0,0,787,3172,693,288,262,83,168,10,29,7,0,668,1051,719,487,72,4071,8004,12075,417,69,49,13,7.64,1.92,3.98,7.93,0.95,0.233,1.09,0.274,77.8,3.6,1.46,21.6,46.6,31.9,10,11.5,6.6,26.5,153.1,784.3,0.3,2,153.3,16,127.9,4.01,3.86,12.15,-44.31,56.46,117.16,11.75,0.93,0.92,0.87,1.12,126,12.15,0.95,62.4,86.9,NA,NA,NA,NA,9,72.6,28.5,79.1,NA,NA,NA,NA,0.3,NA,48.6,NA,NA,-3.1,47.6,NA,NA,0.64,NA,NA,-0.28,1.38,NA,NA,33,61,45.1,68.2,85.8,78.5,43.1,66,9.7,0,1,0,71,85,91,21.1,5.3,4.04,4.77,-0.6,16.2,NA,4,NA,NA,42.2,NA,9.1,NA,NA,28.5,NA,NA,NA,87,NA,87.8,NA,NA,86.8,NA,72.6,NA,NA,79.1,NA,NA,-3.3,NA,-1.9,NA,NA,-7.4,NA,7.7,NA,NA,-6.4,NA,NA,9,NA,8.8,NA,NA,5.8,NA,-6.2,NA,NA,6.3,NA,NA,19.8,NA,6.7,NA,NA,23.6,NA,-2.9,NA,NA,49.8,NA,NA,1.01,NA,1.37,NA,NA,0.46,NA,-0.27,NA,NA,1.45,NA,NA,29.5,59,45.1,64.4,84.7,78.5,52.9,20.9,22.1,4,2.1,6.1,NA,15.8,39.5,35.4,25.1,21.9,48.5,29.6,4.06,29,28.5,NA,8.9,20.4,0,NA,NA,NA,42.1,0,NA,79.4,NA,72.9,87.6,72.1,NA,NA,NA,87.1,83.3,NA,-5.8,NA,8.5,-2.5,8,NA,NA,NA,-6.7,-5.5,NA,5.7,NA,-7.1,8.6,-6.1,NA,NA,NA,5.4,3.7,NA,47.4,NA,-4,20.5,0.1,NA,NA,NA,32.2,0,NA,1.39,NA,-0.37,0.84,6.27,NA,NA,NA,0.64,0.33,NA,31,57.7,45.1,65.8,84.7,78.5,52.9,21.5,127.9
